기준_년_코드,기준_분기_코드,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
34357,41,576765899.0,37899,1299,402,269,295,236,317,183,272,132,9,162,346,483,602,102,650,1054,19,169,355,518,435,209,424958467.0,151807432.0,4186992,61908265.0,107014109.0,138235369.0,210379147.0,55042017,190915850.0,365714181.0,7737863,55035695,113099946.0,166297695.0,132642847.0,81815987.0,28555,9344,5096,5517,5970,5803,6169,5497,3847,691,5649,6260,8538,10704,6057,21587,15322,1511,7571,8108,10471,6740,2504
97008,120,15650737730.0,1062401,3842,961,814,747,678,741,871,726,239,48,621,1298,1555,1084,199,2456,2350,7,275,698,1294,1293,1245,12778647166.0,2872090564.0,533880789,2610339446.0,4139078749.0,3476633956.0,3055500385.0,1835304405,7388213236.0,6015863861.0,42494485,1500618307,2512724527.0,3825318221.0,2925543484.0,2597378073.0,772720,289681,151656,146914,153060,153243,167847,153370,136311,77003,153081,140186,148674,320616,222841,711648,335249,11786,228764,290023,223475,196925,95919
84882,104,11407747282.0,895963,3067,1136,756,647,699,492,473,631,506,45,423,914,1327,1313,184,2398,1804,4,255,496,710,1468,1280,8483506674.0,2924240608.0,378374648,1566514089.0,2300664928.0,2726354688.0,3203020814.0,1232818115,6093523244.0,5206025469.0,43622635,1097337115,1904613708.0,2302336127.0,3145221404.0,2806417726.0,664992,230971,134429,129524,131498,129243,140298,125947,105024,45739,143430,153992,163681,253840,135281,543007,352446,10681,148128,187158,200295,195692,153497
82861,104,28900699768.0,2013334,2916,1185,621,567,585,590,563,677,511,47,189,806,1227,1490,350,1719,2385,80,1051,818,848,635,675,20355182596.0,8545517172.0,713756799,2363229193.0,5347468053.0,7495257954.0,9605186033.0,3375801736,12950264623.0,15893565070.0,438359727,6854732884,6117461260.0,5928905693.0,5093274145.0,4411095977.0,1425866,587468,280390,274452,274122,274371,322531,355330,232138,86531,224299,352433,415268,629821,304982,1009354,1000819,48498,663910,515171,323931,260919,197748
62651,76,81550467198.0,546788,2614,490,515,448,574,598,479,362,127,2,237,1036,1131,640,55,1225,1875,16,303,547,761,700,781,69118516792.0,12431950406.0,61351065,6044904565.0,25710471601.0,33864280505.0,15095341504.0,774117958,32254692006.0,46104469834.0,5587721,3022451292,6771445528.0,24249813544.0,17428557598.0,26881306153.0,467190,79598,97154,92312,90712,96232,90780,48226,31372,1921,116211,178182,130586,94260,25628,251990,283671,943,88078,113824,101521,127649,103639
109134,135,41868397800.0,2650570,4862,543,892,769,1042,1012,1157,336,211,43,634,1377,2007,1222,123,2762,2646,3,605,1428,1060,1213,1098,35151233498.0,6717164302.0,1089892536,5367773116.0,9764035220.0,12276537430.0,10435423072.0,2934736426,21101495174.0,16568778733.0,83038018,3805904643,8446185309.0,10563384898.0,8888900853.0,5882860180.0,2201531,449039,437122,441206,420571,456964,445668,246289,202750,112578,546506,576657,529082,627000,258747,1562294,986447,14208,495673,727088,671095,420457,220219
16168,20,363451870.0,1461,587,213,63,18,79,259,169,114,98,0,7,197,426,173,0,270,531,6,232,101,56,260,142,291689913.0,71761957.0,0,3838911.0,111254997.0,188110982.0,60246980.0,0,126748329.0,236086607.0,2017877,77983854,36539939.0,20873983.0,160693782.0,64725501.0,840,621,50,53,216,223,298,325,296,0,17,249,660,535,0,473,983,28,666,308,146,233,75
16168,20,8689817057.0,940595,687,114,155,116,127,139,152,59,56,27,73,278,147,179,99,414,386,4,170,225,176,113,115,6991365616.0,1698451441.0,315532059,892804514.0,2941043836.0,1647699393.0,1744973820.0,1147763435,3524823611.0,2652574064.0,22828839,1663053425,2036586521.0,1412667026.0,650556395.0,391705475.0,720713,219882,139018,137323,151555,143206,149611,122042,97840,42664,131733,222675,149921,233410,160192,508840,359836,4923,285265,299260,183280,72718,23226
133386,165,34388870271.0,2567553,4982,1622,968,1056,885,1087,1004,1073,551,24,547,1501,1883,2310,347,2723,3885,145,501,1063,1580,1747,1575,26595347289.0,7793522982.0,90290497,4431695109.0,8425626283.0,10419904839.0,10071335256.0,950018287,15015623274.0,18642741702.0,436255527,2703798203,5304194793.0,7373465478.0,8278681813.0,9561969160.0,2008547,559006,436111,393410,379217,375836,423973,379110,179896,15617,384642,573455,698630,780717,114492,1216537,1334273,68146,294380,529937,600880,539782,517683
48504,63,12367654816.0,1072320,2047,355,448,352,303,477,474,227,126,32,321,555,904,485,108,1167,1235,12,161,349,451,741,692,9031005809.0,3336649007.0,309558532,1493005896.0,2163373617.0,2926885468.0,4354230702.0,1120600601,6281077785.0,5952582255.0,56252334,1073899817,2110051696.0,3027744949.0,3054282911.0,2911428327.0,786483,285837,154670,152223,157110,155575,166905,155054,130783,36056,141319,177635,214270,372164,130876,617433,451226,12500,154256,228438,264054,211036,198375
