단속해당동,단속장소,차량번호,단속등록일
가양1동,14_18,13****12, 2021-10-27 08:24 AM
우장산동,10_28,70****8, 2021-10-27 08:27 AM
가양1동,14_07,16****66, 2021-10-27 08:27 AM
화곡8동,13_47,70****6, 2021-10-27 08:27 AM
방화3동,22_14,25****2, 2021-10-27 08:29 AM
방화3동,22_14,49****3, 2021-10-27 08:30 AM
방화3동,22_10_23,73****4, 2021-10-27 08:38 AM
화곡본동,5_55,25****86, 2021-10-27 08:39 AM
방화3동,22_13,85****0, 2021-10-27 08:42 AM
화곡본동,5_27,47****6, 2021-10-27 08:48 AM
화곡2동,7_68,13****5, 2021-10-27 08:50 AM
화곡6동,11_36,43****8, 2021-10-27 08:52 AM
화곡본동,5_14,23****8, 2021-10-27 08:55 AM
가양1동,14_12,11****3, 2021-10-27 09:00 AM
화곡4동,9_19,31****9, 2021-10-27 09:14 AM
화곡4동,9_15,10****81, 2021-10-27 09:18 AM
방화2동,21_40,35****9, 2021-10-27 09:19 AM
화곡6동,11_33,16****8, 2021-10-27 09:22 AM
방화2동,21_39,23****7, 2021-10-27 09:23 AM
방화2동,21_37,30****88, 2021-10-27 09:31 AM
등촌1동,2_06,26****2, 2021-10-27 09:37 AM
화곡6동,11_68,33****2, 2021-10-27 09:38 AM
공항동,19_22_102,61****7, 2021-10-27 09:40 AM
화곡4동,9_31,84****9, 2021-10-27 09:44 AM
등촌1동,2_34,56****2, 2021-10-27 09:45 AM
염창동,1_44,85****3, 2021-10-27 09:48 AM
염창동,1_34,16****01, 2021-10-27 09:54 AM
화곡6동,11_77,34****2, 2021-10-27 09:56 AM
염창동,1_22,55****7, 2021-10-27 09:58 AM
공항동,19_79_10,20****6, 2021-10-27 09:59 AM
공항동,19_79_08,13****0, 2021-10-27 10:00 AM
화곡6동,11_79,97****1, 2021-10-27 10:04 AM
등촌2동,3_41,32****9, 2021-10-27 10:07 AM
등촌3동,4_09_101,47****7, 2021-10-27 10:11 AM
등촌3동,4_08,95****6, 2021-10-27 10:13 AM
우장산동,18_37,45****0, 2021-10-27 10:15 AM
방화1동,20_58_05,97****3, 2021-10-27 10:16 AM
우장산동,18_33,90****8, 2021-10-27 10:19 AM
등촌3동,4_02,15****67, 2021-10-27 10:21 AM
가양1동,14_16_106,32****4, 2021-10-27 10:24 AM
방화1동,20_56_02,57****6, 2021-10-27 10:24 AM
방화1동,20_47_102,37****99, 2021-10-27 10:30 AM
방화1동,20_36,46****0, 2021-10-27 10:34 AM
방화1동,20_39,51****2, 2021-10-27 10:37 AM
방화1동,20_39_10,서울****909, 2021-10-27 10:38 AM
발산1동,17_38,63****8, 2021-10-27 10:38 AM
발산1동,17_38,76****7, 2021-10-27 10:38 AM
방화1동,20_41_02,16****75, 2021-10-27 10:41 AM
방화1동,20_40,67****9, 2021-10-27 10:41 AM
등촌1동,2_30,34****5, 2021-10-27 10:42 AM
방화1동,20_40_101,54****8, 2021-10-27 10:42 AM
발산1동,17_16,32****62, 2021-10-27 10:42 AM
등촌1동,2_33,10****8, 2021-10-27 10:45 AM
발산1동,17_39,37****4, 2021-10-27 10:46 AM
화곡4동,9_81,58****1, 2021-10-27 10:50 AM
염창동,1_35,38****6, 2021-10-27 10:51 AM
우장산동,10_27,27****9, 2021-10-27 10:54 AM
방화2동,21_40,39****04, 2021-10-27 11:00 AM
방화2동,21_40,16****71, 2021-10-27 11:02 AM
방화1동,20_07_101,15****42, 2021-10-27 11:09 AM
방화3동,22_26,58****4, 2021-10-27 11:17 AM
방화3동,22_14,71****5, 2021-10-27 11:30 AM
방화3동,22_18_07,83****9, 2021-10-27 11:34 AM
방화1동,20_39,26****5, 2021-10-27 11:40 AM
화곡6동,11_36,48****1, 2021-10-27 11:43 AM
등촌1동,2_06,12****7, 2021-10-27 11:46 AM
등촌1동,2_10,16****85, 2021-10-27 11:49 AM
화곡1동,12_18,10****82, 2021-10-27 01:16 PM
등촌1동,2_14,65****5, 2021-10-27 01:16 PM
등촌1동,2_06,58****6, 2021-10-27 01:18 PM
화곡1동,12_18,19****1, 2021-10-27 01:19 PM
등촌1동,2_06,22****5, 2021-10-27 01:20 PM
화곡6동,11_79,55****6, 2021-10-27 01:21 PM
등촌1동,2_35,93****8, 2021-10-27 01:22 PM
방화1동,20_39,64****2, 2021-10-27 01:24 PM
화곡1동,12_14,89****5, 2021-10-27 01:24 PM
등촌1동,2_10,17****6, 2021-10-27 01:25 PM
화곡1동,12_14,84****4, 2021-10-27 01:26 PM
방화1동,20_36,66****8, 2021-10-27 01:26 PM
등촌1동,2_07,22****4, 2021-10-27 01:28 PM
우장산동,10_28,70****8, 2021-10-27 01:32 PM
등촌1동,2_33,70****3, 2021-10-27 01:34 PM
방화3동,22_14,49****3, 2021-10-27 01:37 PM
방화3동,22_18,57****9, 2021-10-27 01:39 PM
방화3동,22_18,16****05, 2021-10-27 01:40 PM
화곡1동,6_46,38****5, 2021-10-27 01:42 PM
염창동,1_34,27****82, 2021-10-27 01:43 PM
발산1동,17_34,18****4, 2021-10-27 01:43 PM
염창동,1_34,22****1, 2021-10-27 01:44 PM
염창동,1_34,65****4, 2021-10-27 01:45 PM
화곡1동,6_46,49****3, 2021-10-27 01:45 PM
염창동,1_34,41****7, 2021-10-27 01:46 PM
방화3동,22_27,22****3, 2021-10-27 01:48 PM
우장산동,18_22,54****5, 2021-10-27 01:49 PM
방화3동,22_29_3,26****25, 2021-10-27 01:54 PM
우장산동,18_37,38****7, 2021-10-27 01:55 PM
방화3동,22_26,53****4, 2021-10-27 01:55 PM
화곡2동,7_64,19****84, 2021-10-27 01:57 PM
방화3동,22_26,16****15, 2021-10-27 01:57 PM
화곡2동,7_68,84****7, 2021-10-27 01:59 PM
우장산동,18_38,89****7, 2021-10-27 02:04 PM
방화1동,20_07_102,63****4, 2021-10-27 02:04 PM
화곡4동,9_79,81****2, 2021-10-27 02:05 PM
방화2동,21_09,94****3, 2021-10-27 02:11 PM
화곡4동,9_19,51****2, 2021-10-27 02:13 PM
등촌3동,4_02,69****4, 2021-10-27 02:20 PM
등촌3동,4_02,26****0, 2021-10-27 02:21 PM
화곡8동,13_42,35****81, 2021-10-27 02:27 PM
방화2동,21_91,32****0, 2021-10-27 02:27 PM
화곡8동,13_11,24****5, 2021-10-27 02:33 PM
방화2동,21_40,35****9, 2021-10-27 02:34 PM
화곡8동,13_09,28****86, 2021-10-27 02:35 PM
화곡8동,13_09,34****36, 2021-10-27 02:36 PM
화곡본동,5_04,84****5, 2021-10-27 02:37 PM
가양1동,14_12,42****2, 2021-10-27 02:40 PM
화곡8동,13_26,82****0, 2021-10-27 02:41 PM
화곡8동,13_40,98****8, 2021-10-27 02:44 PM
방화2동,21_41,13****3, 2021-10-27 02:45 PM
화곡8동,13_41,26****9, 2021-10-27 02:47 PM
화곡1동,6_35,95****6, 2021-10-27 02:59 PM
