거래일자,법정동,도로명,아파트,층,전용면적,건축년도,거래금액
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,17.98,2019,21850
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,17.98,2019,21950
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,19.82,2019,21900
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,17.98,2019,21950
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,17.98,2019,21850
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,17.98,2019,21850
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,19.82,2019,21900
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,17.98,2019,21850
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,4,21.28,2019,21800
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,19.82,2019,21900
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,17.98,2019,21950
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,6,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,5,17.98,2019,21950
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,10,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,7,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,19.82,2019,22350
2019-12-13,상봉동,상봉로23길,솔렌시아 5,8,17.98,2019,22250
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,21.28,2019,22200
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,17.98,2019,22150
2019-12-13,상봉동,상봉로23길,솔렌시아 5,9,17.98,2019,22250
2019-12-14,상봉동,신내로7나길,건영2차아파트,13,84.96,1996,62500
2019-12-15,상봉동,신내로7가길,동부아파트,9,54,1999,42700
2019-12-17,상봉동,신내로7나길,건영2차아파트,3,84.96,1996,56800
2019-12-17,상봉동,신내로7가길,동부아파트,1,84.99,1999,49800
2019-12-21,상봉동,상봉중앙로1다길,우정아파트,9,110.2786,2002,71500
2019-12-27,상봉동,상봉로23길,더클래스,12,28.25,2019,27800
2019-12-28,상봉동,신내로7나길,건영2차아파트,16,84.96,1996,60200
2019-12-29,상봉동,상봉중앙로,해동 훼미리,5,84.77,2005,32000
2019-12-01,중화동,동일로129길,태능에셈빌,4,80.14,2005,45000
2019-12-10,중화동,망우로,동양엔파트,15,84.98,2010,57500
2019-12-12,중화동,망우로,동양엔파트,4,84.35,2010,54000
2019-12-24,중화동,동일로140길,중화동건영아파트,5,84.76,1998,40200
2019-12-01,묵동,중랑천로,월드메르디앙,12,83.51,2009,57300
2019-12-03,묵동,숙선옹주로,이편한세상 화랑대,5,84.956,2017,81000
2019-12-09,묵동,숙선옹주로,이편한세상 화랑대,17,59.953,2017,72000
2019-12-14,묵동,중랑천로,월드메르디앙,9,83.8,2009,57800
2019-12-18,묵동,숙선옹주로,이편한세상 화랑대,3,75.914,2017,77700
2019-12-18,묵동,동일로,위더스빌,6,84.98,2010,52000
2019-12-20,묵동,동일로149길,우성,2,48.13,1975,22000
2019-12-23,묵동,공릉로,공감대,14,59.959,2005,41200
2019-12-30,묵동,공릉로,공감대,10,59.959,2005,45000
2019-12-11,망우동,용마산로112가길,예성그린캐슬,12,58.9,2004,37500
2019-12-17,망우동,망우로,신원,17,59.62,1999,31000
2019-12-26,망우동,양원역로,경남,1,52.71,1989,29000
2019-12-02,신내동,봉화산로56길,중앙하이츠,4,84.97,1996,46000
2019-12-02,신내동,신내로,성원,6,84.4,1994,45000
2019-12-03,신내동,봉화산로56길,중앙하이츠,12,84.97,1996,48500
2019-12-06,신내동,신내역로1길,신내우디안1단지,12,84.94,2014,60000
2019-12-07,신내동,신내역로1길,신내우디안1단지,13,84.79,2014,64000
2019-12-07,신내동,신내로,성원,15,84.32,1994,49000
2019-12-07,신내동,봉화산로56길,중앙하이츠,1,84.97,1996,39500
